fold,baseline,train_ef_1,train_hits_1,test_ef_1,test_hits_1,full_ef_1,full_hits_1,train_ef_5,train_hits_5,test_ef_5,test_hits_5,full_ef_5,full_hits_5,train_ef_10,train_hits_10,test_ef_10,test_hits_10,full_ef_10,full_hits_10
1,Equal Weights,5.843386130136986,17,6.781672297297297,5,6.033094262295082,22,2.8115456222457555,41,2.4353137426703513,9,2.7354768815665755,50,2.021680962744847,59,2.2985855013892396,17,2.077667126295899,76
1,Random (mean of 100),5.568403253424658,16,5.954308277027027,4,5.646427766393441,20,2.964466274382537,43,3.1550842488373667,11,3.003006520583787,54,2.1936951734733072,64,2.2634306643091686,16,2.2077946989428527,80
1,Best Individual (GraphDTA_IC50),17.53015839041096,51,13.563344594594595,10,16.728125,61,6.994576913879684,102,6.764760396306531,25,6.948111279179101,127,4.214690820637562,123,3.92111644354635,29,4.155334252591798,152
2,Equal Weights,6.508553754266211,19,4.124743150684932,3,6.033094262295082,22,2.8019499033985005,41,2.4686742048987123,9,2.7354768815665755,50,2.1172275206532487,62,1.918883625656126,14,2.077667126295899,76
2,Random (mean of 100),6.066657209897611,17,3.9597534246575345,2,5.646427766393441,20,3.1395506966372464,45,2.4549593482048304,8,3.003006520583787,54,2.2845567924468124,66,1.8996947893995648,13,2.2077946989428527,80
2,Best Individual (GraphDTA_IC50),17.812883959044367,52,12.374229452054795,9,16.728125,61,7.039044879269404,103,6.583131213063233,24,6.948111279179101,127,4.166157379349941,122,4.111893483548841,30,4.155334252591798,152
3,Equal Weights,5.1383319112627985,15,9.624400684931507,7,6.033094262295082,22,2.391908454120671,35,4.11445700816452,15,2.7354768815665755,50,2.014781027718414,59,2.33007297401101,17,2.077667126295899,76
3,Random (mean of 100),5.217119667235494,15,7.369541095890412,5,5.646427766393441,20,2.8737071570221207,42,3.5219751989888293,12,3.003006520583787,54,2.1127881726260727,61,2.589122263474587,18,2.2077946989428527,80
3,Best Individual (GraphDTA_IC50),15.75755119453925,46,20.62371575342466,15,16.728125,61,6.834024154630488,100,7.406022614696137,27,6.948111279179101,127,3.961264393480272,116,4.93427218025861,36,4.155334252591798,152
4,Equal Weights,6.851109215017065,20,2.7498287671232875,2,6.033094262295082,22,3.143651111130025,46,1.0971885355105386,4,2.7354768815665755,50,2.2538228445663617,66,1.3706311611829471,10,2.077667126295899,76
4,Random (mean of 100),6.028976109215016,17,4.110994006849316,2,5.646427766393441,20,3.145701318376414,46,2.4302726061558437,8,3.003006520583787,54,2.3180226468055247,67,1.7653729356036356,12,2.2077946989428527,80
4,Best Individual (GraphDTA_IC50),17.812883959044367,52,12.374229452054795,9,16.728125,61,7.175725362362013,105,6.034536945307963,22,6.948111279179101,127,4.336901534241332,127,3.426577902957368,25,4.155334252591798,152
5,Equal Weights,5.823442832764505,17,6.874571917808219,5,6.033094262295082,22,2.528588937213281,37,3.565862740409251,13,2.7354768815665755,50,1.980632196740136,58,2.467136090129305,18,2.077667126295899,76
5,Random (mean of 100),5.350716296928328,15,6.833324486301372,4,5.646427766393441,20,2.8914756198241607,42,3.4506579441806444,12,3.003006520583787,54,2.129862588115212,62,2.5205907054154393,18,2.2077946989428527,80
5,Best Individual (GraphDTA_IC50),14.72988481228669,43,24.74845890410959,18,16.728125,61,6.697343671537879,98,7.954616882451406,29,6.948111279179101,127,4.097859717393384,120,4.386019715785431,32,4.155334252591798,152
