fold,method,column,modality,weight,weight_pct
1,fair,graphdta_kd,GraphDTA_Kd,0.03,3.0
1,fair,graphdta_ki,GraphDTA_Ki,0.032605513910720606,3.2605513910720605
1,fair,graphdta_ic50,GraphDTA_IC50,0.0931069047230991,9.31069047230991
1,fair,mltle_pKd,MLTLE_pKd,0.040739671900012396,4.073967190001239
1,fair,vina_score,Vina,0.042050882087688694,4.20508820876887
1,fair,boltz_affinity,Boltz_affinity,0.05646148205961326,5.6461482059613255
1,fair,boltz_confidence,Boltz_confidence,0.15465091661028227,15.465091661028227
1,fair,tankbind_affinity,TankBind,0.051207646762576296,5.12076467625763
1,fair,drugban_affinity,DrugBAN,0.21145722164300174,21.145722164300174
1,fair,moltrans_affinity,MolTrans,0.10470412143525748,10.470412143525747
1,fair,unimol_similarity,UniMol_sim,0.18301563886865882,18.301563886865882
2,fair,graphdta_kd,GraphDTA_Kd,0.03,3.0
2,fair,graphdta_ki,GraphDTA_Ki,0.03821712248480217,3.821712248480217
2,fair,graphdta_ic50,GraphDTA_IC50,0.03,3.0
2,fair,mltle_pKd,MLTLE_pKd,0.08595548450758475,8.595548450758475
2,fair,vina_score,Vina,0.222133984271048,22.2133984271048
2,fair,boltz_affinity,Boltz_affinity,0.03,3.0
2,fair,boltz_confidence,Boltz_confidence,0.0768191086734652,7.68191086734652
2,fair,tankbind_affinity,TankBind,0.03,3.0
2,fair,drugban_affinity,DrugBAN,0.17630265989518826,17.630265989518826
2,fair,moltrans_affinity,MolTrans,0.07252547785845431,7.252547785845431
2,fair,unimol_similarity,UniMol_sim,0.2080461623087487,20.80461623087487
3,fair,graphdta_kd,GraphDTA_Kd,0.034332974977300305,3.4332974977300306
3,fair,graphdta_ki,GraphDTA_Ki,0.03,3.0
3,fair,graphdta_ic50,GraphDTA_IC50,0.08858408445383462,8.858408445383462
3,fair,mltle_pKd,MLTLE_pKd,0.03,3.0
3,fair,vina_score,Vina,0.21692573759393752,21.692573759393753
3,fair,boltz_affinity,Boltz_affinity,0.03,3.0
3,fair,boltz_confidence,Boltz_confidence,0.10487581934654938,10.487581934654939
3,fair,tankbind_affinity,TankBind,0.03,3.0
3,fair,drugban_affinity,DrugBAN,0.21538394787085613,21.538394787085615
3,fair,moltrans_affinity,MolTrans,0.045409060063957875,4.540906006395788
3,fair,unimol_similarity,UniMol_sim,0.17448837569340503,17.448837569340505
4,fair,graphdta_kd,GraphDTA_Kd,0.037207787134662024,3.7207787134662023
4,fair,graphdta_ki,GraphDTA_Ki,0.03,3.0
4,fair,graphdta_ic50,GraphDTA_IC50,0.2243426638323818,22.43426638323818
4,fair,mltle_pKd,MLTLE_pKd,0.038251062395745064,3.8251062395745064
4,fair,vina_score,Vina,0.0980452689685846,9.80452689685846
4,fair,boltz_affinity,Boltz_affinity,0.08294308840813917,8.294308840813917
4,fair,boltz_confidence,Boltz_confidence,0.08826594448295222,8.826594448295221
4,fair,tankbind_affinity,TankBind,0.1386875316118632,13.86875316118632
4,fair,drugban_affinity,DrugBAN,0.16453811726228448,16.453811726228448
4,fair,moltrans_affinity,MolTrans,0.06771853590335997,6.771853590335997
4,fair,unimol_similarity,UniMol_sim,0.03,3.0
5,fair,graphdta_kd,GraphDTA_Kd,0.03,3.0
5,fair,graphdta_ki,GraphDTA_Ki,0.03,3.0
5,fair,graphdta_ic50,GraphDTA_IC50,0.03472273826084722,3.4722738260847223
5,fair,mltle_pKd,MLTLE_pKd,0.05800534465216113,5.8005344652161135
5,fair,vina_score,Vina,0.1522674852229059,15.22674852229059
5,fair,boltz_affinity,Boltz_affinity,0.03,3.0
5,fair,boltz_confidence,Boltz_confidence,0.14926485152819835,14.926485152819835
5,fair,tankbind_affinity,TankBind,0.03,3.0
5,fair,drugban_affinity,DrugBAN,0.2096229638870047,20.96229638870047
5,fair,moltrans_affinity,MolTrans,0.06693844316557722,6.693844316557722
5,fair,unimol_similarity,UniMol_sim,0.20917817328272692,20.91781732827269
