fold,method,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30
1,unconstrained_bedroc,18.99885801294252,7,16.284735439665017,12,12.702702702702704,47,7.4324324324324325,55,4.527027027027027,67,3.2882882882882885,73
1,fair_bedroc,18.99885801294252,7,16.284735439665017,12,12.702702702702704,47,8.378378378378379,62,4.797297297297297,71,3.3333333333333335,74
1,entropy_bedroc,16.284735439665017,6,14.927674153026265,11,12.702702702702704,47,8.108108108108109,60,4.662162162162162,69,3.2882882882882885,73
2,unconstrained_bedroc,11.005209338221107,4,13.756511672776384,10,12.876712328767123,47,6.8493150684931505,50,4.041095890410959,59,2.9680365296803655,65
2,fair_bedroc,11.005209338221107,4,13.756511672776384,10,12.876712328767123,47,8.63013698630137,63,4.794520547945205,70,3.287671232876712,72
2,entropy_bedroc,11.005209338221107,4,13.756511672776384,10,13.150684931506849,48,8.219178082191782,60,4.52054794520548,66,3.2420091324200913,71
3,unconstrained_bedroc,30.264325680108044,11,24.76172101099749,18,14.520547945205479,53,9.452054794520548,69,5.0,73,3.3333333333333335,73
3,fair_bedroc,27.513023345552767,10,24.76172101099749,18,14.246575342465754,52,9.452054794520548,69,5.0,73,3.3333333333333335,73
3,entropy_bedroc,27.513023345552767,10,24.76172101099749,18,14.246575342465754,52,8.356164383561644,61,4.863013698630137,71,3.287671232876712,72
4,unconstrained_bedroc,35.7669303492186,13,26.13737217827513,19,12.054794520547945,44,6.301369863013699,46,3.6301369863013697,53,3.0136986301369864,66
4,fair_bedroc,35.7669303492186,13,26.13737217827513,19,11.780821917808218,43,6.575342465753424,48,4.2465753424657535,62,3.3333333333333335,73
4,entropy_bedroc,33.01562801466332,12,26.13737217827513,19,12.054794520547945,44,7.260273972602739,53,4.863013698630137,71,3.3333333333333335,73
5,unconstrained_bedroc,35.7669303492186,13,33.01562801466332,24,13.698630136986301,50,8.767123287671232,64,5.0,73,3.3333333333333335,73
5,fair_bedroc,33.01562801466332,12,33.01562801466332,24,13.698630136986301,50,9.04109589041096,66,5.0,73,3.3333333333333335,73
5,entropy_bedroc,30.264325680108044,11,31.639976847385682,23,13.698630136986301,50,8.082191780821917,59,4.726027397260274,69,3.3333333333333335,73
