fold,method,test_mean_rank,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_2.5,test_hits_2.5,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20
1,unconstrained_bedroc,876.0526315789474,15.898293029871978,6,22.371423525256095,17,15.812818336162987,30,9.211762628046626,35,7.106216884493112,54,4.93487283645355,75
1,fair_bedroc,1220.921052631579,18.54800853485064,7,23.68738961497704,18,15.812818336162987,30,9.211762628046626,35,7.106216884493112,54,4.474284705051218,68
1,entropy_bedroc,1707.0394736842106,18.54800853485064,7,21.055457435535146,16,15.812818336162987,30,9.474955845990817,36,6.843023666548922,52,4.145293182620982,63
2,unconstrained_bedroc,813.3552631578947,26.497155049786628,10,26.319321794418933,20,16.86700622524052,32,10.527728717767573,40,7.501006711409396,57,5.000671140939597,76
2,fair_bedroc,1660.6184210526317,21.197724039829303,8,30.267220063581775,23,16.86700622524052,32,10.001342281879195,38,7.501006711409396,57,4.013696573648887,61
2,entropy_bedroc,1684.907894736842,26.497155049786628,10,26.319321794418933,20,16.86700622524052,32,10.001342281879195,38,7.501006711409396,57,4.013696573648887,61
3,unconstrained_bedroc,1195.592105263158,15.898293029871978,6,23.68738961497704,18,13.704442558007923,26,10.790921935711763,41,8.027393147297774,61,4.342688096079124,66
3,fair_bedroc,1063.1973684210527,18.54800853485064,7,22.371423525256095,17,13.704442558007923,26,10.001342281879195,38,7.89579653832568,60,4.605881314023313,70
3,entropy_bedroc,2274.3552631578946,15.898293029871978,6,21.055457435535146,16,12.65025466893039,24,10.001342281879195,38,6.711427057576828,51,3.8163016601907453,58
4,unconstrained_bedroc,876.5657894736842,15.898293029871978,6,19.7394913458142,15,14.758630447085455,28,9.738149063935005,37,7.3694101024373015,56,4.93487283645355,75
4,fair_bedroc,1194.421052631579,21.197724039829303,8,19.7394913458142,15,14.231536502546689,27,9.738149063935005,37,7.3694101024373015,56,4.540083009537266,69
4,entropy_bedroc,1782.7236842105262,18.54800853485064,7,19.7394913458142,15,14.231536502546689,27,10.001342281879195,38,7.106216884493112,54,4.145293182620982,63
5,unconstrained_bedroc,1000.6315789473684,10.598862019914652,4,10.527728717767573,8,10.541878890775326,20,9.211762628046626,35,6.974620275521017,53,4.869074531967502,74
5,fair_bedroc,2724.4210526315787,13.248577524893314,5,10.527728717767573,8,10.01478494623656,19,8.422182974214058,32,5.790250794772166,44,3.2899152243023666,50
5,entropy_bedroc,1786.9605263157894,13.248577524893314,5,10.527728717767573,8,11.596066779852858,22,9.211762628046626,35,6.579830448604733,50,4.013696573648887,61
